Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,327,['Bpod5'],660,336,324,162,116,46,58,33,101,17,84,0.24545454545454545,0.34523809523809523,0.1419753086419753,263,133,130,134,127,0.6159695817490495,0.8721804511278195,0.35384615384615387,0.43283582089552236,0.25984251968503935,397,203,194,0.6015151515151516,0.6041666666666666,0.5987654320987654,196,132,64,490.0,330.0,160.0,1,0,0,0
2022-01-18,1,327,['Bpod7'],692,336,356,269,67,202,122,62,157,103,54,0.38872832369942195,0.19940476190476192,0.5674157303370787,426,170,256,214,211,0.6314553990610329,0.3941176470588235,0.7890625,0.5700934579439252,0.2938388625592417,266,166,100,0.38439306358381503,0.49404761904761907,0.2808988764044944,360,132,228,900.0,330.0,570.0,1,0,0,0
2022-01-21,4,327,['Bpod7'],741,375,366,452,211,241,220,197,226,109,117,0.6099865047233468,0.5626666666666666,0.6584699453551912,678,320,358,333,344,0.6666666666666666,0.659375,0.6731843575418994,0.6606606606606606,0.5726744186046512,63,55,8,0.08502024291497975,0.14666666666666667,0.02185792349726776,641,300,341,1602.5,750.0,852.5,1,0,0,0
2022-01-24,0,327,['Bpod7'],509,226,283,349,72,277,218,107,124,119,5,0.6856581532416502,0.3185840707964602,0.9787985865724381,473,191,282,245,227,0.7378435517970402,0.3769633507853403,0.9822695035460993,0.889795918367347,0.4713656387665198,36,35,1,0.07072691552062868,0.15486725663716813,0.0035335689045936395,371,92,279,927.5,230.0,697.5,1,0,0,0
2022-01-25,1,327,['Bpod7'],696,363,333,353,211,142,229,78,201,57,144,0.507183908045977,0.581267217630854,0.4264264264264264,554,268,286,283,270,0.6371841155234657,0.7873134328358209,0.4965034965034965,0.8091872791519434,0.28888888888888886,142,95,47,0.20402298850574713,0.26170798898071623,0.14114114114114115,364,221,143,910.0,552.5,357.5,1,0,0,0
2022-01-26,2,327,['Bpod7'],728,362,366,523,179,344,317,163,141,129,12,0.7184065934065934,0.494475138121547,0.9398907103825137,664,308,356,333,331,0.7876506024096386,0.5811688311688312,0.9662921348314607,0.9519519519519519,0.49244712990936557,64,54,10,0.08791208791208792,0.14917127071823205,0.0273224043715847,529,185,344,1322.5,462.5,860.0,1,0,0,0
2022-01-27,3,327,['Bpod7'],812,414,398,705,323,382,365,301,51,36,15,0.8682266009852216,0.7801932367149759,0.9597989949748744,756,359,397,389,367,0.9325396825396826,0.8997214484679665,0.9622166246851386,0.9383033419023136,0.8201634877384196,56,55,1,0.06896551724137931,0.13285024154589373,0.002512562814070352,710,328,382,1775.0,820.0,955.0,1,0,0,0
2022-01-28,4,327,['Bpod7'],709,374,335,648,325,323,334,294,33,22,11,0.9139633286318759,0.8689839572192514,0.9641791044776119,681,347,334,347,333,0.9515418502202643,0.9365994236311239,0.9670658682634731,0.962536023054755,0.8828828828828829,28,27,1,0.039492242595204514,0.07219251336898395,0.0029850746268656717,648,325,323,1620.0,812.5,807.5,1,1,0,0
2022-01-31,0,327,['Bpod7'],405,177,228,290,94,196,159,88,42,25,17,0.7160493827160493,0.5310734463276836,0.8596491228070176,332,119,213,178,154,0.8734939759036144,0.7899159663865546,0.92018779342723,0.8932584269662921,0.5714285714285714,73,58,15,0.18024691358024691,0.327683615819209,0.06578947368421052,290,94,196,725.0,235.0,490.0,2,0,0,0
2022-02-01,1,327,['Bpod7'],564,278,286,433,156,277,237,141,35,28,7,0.7677304964539007,0.5611510791366906,0.9685314685314685,468,184,284,257,210,0.9252136752136753,0.8478260869565217,0.9753521126760564,0.9221789883268483,0.6714285714285714,96,94,2,0.1702127659574468,0.3381294964028777,0.006993006993006993,433,156,277,1082.5,390.0,692.5,2,0,0,0
