choices,rts,winners
-1.0,1.102,1
1.0,0.825,0
1.0,0.746,1
-1.0,0.725,1
1.0,0.653,1
1.0,0.762,0
1.0,0.709,1
-1.0,0.766,1
0.0,0.403,0
1.0,0.6699999999999999,1
0.0,0.36600000000000005,0
0.0,0.502,0
0.0,0.35800000000000004,0
